Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
  Book;512; N. A. Pertsov and V. E. Flint;1963;; Feeding of the Eider in the Kandalaksha reserve, and its role in the dynamics of the littoral fauna. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transaction of the Kandalaksha State Reserve); Voronezh;4;7-28;1963; Feeding of the Eider in the Kandalaksha reserve, and its role in the dynamics of the littoral fauna. (in Russian);1490; White Sea, Common Eider, Diet, Foraging, Prey stock;;;
  Conference Proceedings;603; I. P. Tatarinkova;;; Methodology of ringing of downy ducklings tested on Common Eider chicks. (in Russian);; Tartu;;186-187;1963; Methodology of ringing of downy ducklings tested on Common Eider chicks. (in Russian);1830; Barents Sea, Murman, Common Eider, Breeding, Banding, Metodology;;;
  Journal Article;673; S. M. Uspenski;1963; Zoologicheski zhurnal. (Zoological journal); About essence of the geographical isomorphism of homothermic animals. (in Russian);;;42;1392-1402;1963; About essence of the geographical isomorphism of homothermic animals. (in Russian);5840; Barents Sea, Many orders, Biometry;;;
  Journal Article;82; V. V. Biancki;1964; Priroda (Nature); Winter in the north. (in Russian);;;1;124-125;1964; Winter in the north. (in Russian);570; White Sea, Many orders, Wintering, Distribution, Movements, Popularized paper;;;
  Journal Article;208; V. E. Flint;1964; Okhota i okhotnich'e khozyaystvo. (Game and game industry); Reestablishment of the harvesting of Eider down. (in Russian);;;7;9-10;1964; Reestablishment of the harvesting of Eider down. (in Russian);2080; White Sea, Common Eider, Harvesting, Nanagement;;;
  Conference Proceedings;247; A. N. Golovkin;;; The level of coloniality as a factor of the establishment of colonies of fish-eating birds on the Murman. (in Russian);; Moscow;;28-29;1964; The level of coloniality as a factor of the establishment of colonies of fish-eating birds on the Murman. (in Russian);1700; Barents Sea, Murman, Alcids, Gulls, Breeding, Behaviour;;;
  Book;265; A. N. Golovkin and L. E. Pozdnyakova;1964;; The influence of colonial seabirds on the regime of biogenic elements in nearshore waters of the eastern part of Murman; Novye issledovaniya planktona i bentosa Barentseva morya-Trudy Murmanskogo morskogo biologicheskogo instituta A.N. SSSR (New research of Barents Sea plankton and bentos.  Transactions of Murman Marine Biological Institute, Kola Branch of the USSR Acad. of Sci).;;6(10);88-98;1964; The influence of colonial seabirds on the regime of biogenic elements in nearshore waters of the eastern part of Murman;960; Barents Sea, Murman, Alcids, Gulls, Habitat, Bird impact;;;
  Conference Proceedings;674; S. M. Uspenski;;; Main features of living form 'arctic  animal' based on samples of Arctic and Subarctic avifauna. (in Russian);; Lvov;;30-36;1964; Main features of living form 'arctic  animal' based on samples of Arctic and Subarctic avifauna. (in Russian);1970; Barents sea, Many orders, Breeding, Foraging, Distribution;;;
  Book;704; K. A. Yudin;1964;; The avifauna of the central part of the arctic bassin. (in Russian); Trudy Arct. i Antarct. NII Glavsevmorputi (Transactions of the Arctic and Antarctic  Institute);;259;400-403;1964; The avifauna of the central part of the arctic bassin. (in Russian);2160; Barents Sea, Many orders, Distribution;;;
  Journal Article;16; R. F. Averkina, N. G. Andreeva and N. N. Kartashev;1965; Zoologicheski zhurnal. (Zoological journal); Immunological peculiarities of some alcids and their taxonomic significance. (in Russian);;;44;1690-1700;1965; Immunological peculiarities of some alcids and their taxonomic significance. (in Russian);490; Alcidae, Taxonomy; Common Murre, Brunnich Murre, Black Guillemot, Razorbill and Puffin are  related immunologically. Subspesies of Uria from Atlantic and Pacific have light differences, but not subspecies of Cepphus;;
  Conference Proceedings;23; O. I. Belogrudov and Z. B. Smetanina;;; The influence of biological peculiarities of alcids upon their helminth fauna. (in Russian);; Alma-Ata;;;1965; The influence of biological peculiarities of alcids upon their helminth fauna. (in Russian);4310; Barents Sea, Alcids, Parasites;;;
  Conference Proceedings;84; V. V. Biancki;;; The autumn migration of waterbirds across the  White Sea. (in Russian);; Moscow;1;53-55;1965; The autumn migration of waterbirds across the  White Sea. (in Russian);2920; White Sea, Geese, Ducks, Movements, Phenology, Management;;;
  Conference Proceedings;85; V. V. Biancki;;; Possible causes for the absence of subspecies of Arctic Tern. (in Russian);; Alma-Ata;;32-34;1965; Possible causes for the absence of subspecies of Arctic Tern. (in Russian);5330; Barents Sea, White Sea, Arctic Tern, Taxonomy;;;
  Conference Proceedings;171; N. N. Danilov;;; Heat isolation characters of feathering cover, and the adaptation of birds to warm conditions. (in Russian);; Alma-Ata;;113-114;1965; Heat isolation characters of feathering cover, and the adaptation of birds to warm conditions. (in Russian);4320; Alcids, Biometry;;;
  Conference Proceedings;209; V. E. Flint;;; Ducks and geese numbers on the north-east shore of the Kola Peninsula. (in Russian);; Moscow;1;58-59;7-9  April 1965; Ducks and geese numbers on the north-east shore of the Kola Peninsula. (in Russian);840; Barents Sea, Common Eider, King Eider, Distribution, Population size;;;
  Book;233; T. D. Gerasimova;1965;; Feeding habits of the seashore gulls of the Murman. (in Russian); Ryboyadnye ptitsy i ikh rol v rybnom khozyaystve. (Fish-eating birds and their role in fish industry); Moscow;;194-209;1965; Feeding habits of the seashore gulls of the Murman. (in Russian);890; Barents Sea, Murman, Gulls, Distribution, Diet, Foraging, Prey stocks;;;
  Conference Proceedings;248; A. N. Golovkin;;; The impact of colonial fish-eating birds on biological productivity. (in Russian);;;;261-262;1965; The impact of colonial fish-eating birds on biological productivity. (in Russian);3870; Barents Sea, Murman, Alcids, Gulls, Foraging, Bird impact;;;
  Thesis;249; A. N. Golovkin;1965;; The impact of colonial seabirds on the biological productivity of the coastal zone of the Barents Sea. (in Russian). (Vliyanie morskikh kolonialnykh ptits na biiologicheskuyu produktivnost pribrezhnoy zony Barentseva morya.;; Moscow;;17;1965; The impact of colonial seabirds on the biological productivity of the coastal zone of the Barents Sea. (in Russian). (Vliyanie morskikh kolonialnykh ptits na biiologicheskuyu produktivnost pribrezhnoy zony Barentseva morya.;6590; Barents Sea, Murman, Alcids, Gulls, Breedig, Diet, Foraging, Prey stock, Distribution, Population size, Physiology, Bird impact;;;
  Book;266; A. N. Golovkin and L. E. Pozdnyakova;1965;; The influence of colonial seabirds on the regime of the biogenic salts in the waters of the seashore of the Murman. (in Russian); Ryboyadnye ptitsy i ikh znachenie v rybnom chozyaystve (Fish-eating birds and their signifiicance in fish industry); Moscow;;210-230;1965; The influence of colonial seabirds on the regime of the biogenic salts in the waters of the seashore of the Murman. (in Russian);950; Barents Sea, Murman, Alcids, Gulls, Habitat, Bird impact;;;
  Journal Article;268; A. N. Golovkin and E. A. Zelickman;1965; Okeanologiya. (Oceanology); The development of Calanus near nesting sites of colonial seabirds at the coast of Murman. (in Russian);;;5;117-127;1965; The development of Calanus near nesting sites of colonial seabirds at the coast of Murman. (in Russian);930; Alcids, Gulls, Barents Sea, Murman, Birds impact;;;
  Conference Proceedings;306; V. N. Karpovich;;; The Kandalaksha reserve investigations of the seasonal distribution and number of waterfowl on the White and Barents seas. (in Russian);; Moscow;1;20-21;7-9 April 1965; The Kandalaksha reserve investigations of the seasonal distribution and number of waterfowl on the White and Barents seas. (in Russian);820; White sea, Common Eider, Distribution, Population size, Harvesting, Management;;;
  Journal Article;354; V. D. Kokhanov;1965; Zoologicheski zhurnal.(Zoological journal); The influence of nesting peculiarities of waders on the dates and the  character of their autumn migration. (in Russian);;;44;784-787;1965; The influence of nesting peculiarities of waders on the dates and the  character of their autumn migration. (in Russian);1190; White Sea, Waders, Phenology, Movements;;;
  Journal Article;489; M. F. Nikitenko;1965; Zhurnal obshchej biologii. (Journal of the general biology); Main features of adaptation to aquatic lifestyle of alcids and the structure of the cerebrum. (in Russian);;;26;464-474;1965; Main features of adaptation to aquatic lifestyle of alcids and the structure of the cerebrum. (in Russian);4960; Barents Sea, Murman, Alcids, Biometry, Physiology;;;
  Conference Proceedings;527; V. K. Rakhilin;;; The bird migration near the Zhizhgin Island in the White Sea and near the Seven Islands in the Barents Sea. (in Russian);; Moscow;1;55-58;7-9 April 1965; The bird migration near the Zhizhgin Island in the White Sea and near the Seven Islands in the Barents Sea. (in Russian);830; White Sea, Barents Sea, Murman, Geese, Ducks, Movements;;;
  Book;528; V. K. Rakhilin;1965;; The impact of the antropogenic factor on the avifauna of the 'Seven Islands' and the adjoined sea coast. (in Russian); Novosti ornitologii. (News of the ornithology); Alma-Ata;;315-317;1965; The impact of the antropogenic factor on the avifauna of the 'Seven Islands' and the adjoined sea coast. (in Russian);5140; Barents Sea, Murman, Many orders, Disturbance, Common Eider, Population size, Harvesting, Management, Predators;;;
  Conference Proceedings;559; B. T. Semenov;;; The population and distribution of waterfowl in the Arkhangelsk region, the exploitation of its stocks and reproductive potential. (in Russian);; Moscow;1;50-52;1965; The population and distribution of waterfowl in the Arkhangelsk region, the exploitation of its stocks and reproductive potential. (in Russian);5280; White Sea, Ducks, Geese, Population size, Harvesting;;;
  Book;675; S. M. Uspenski;1965;; Birds from the eastern part of the Bolshezemelskaya tundra, the Yugorski Peninsula and the Vaygavch Island. (in Russian); Ekologiya pozvonochnykh zhivotnikh Kraynego Severa. Trudy Instituta biologii Uralskogo filiala A.N. SSSR. (The ecology of vertebrate animals of the Far North. Transactions of the Institute of biology. Ural branch Ac. Sci. USSR); Sverdlovsk;38;65-102;1965; Birds from the eastern part of the Bolshezemelskaya tundra, the Yugorski Peninsula and the Vaygavch Island. (in Russian);5850; Barents Sea, Nenets district, Many orders, Common Eider, King Eider, Breeding, Diet, Distribution, Population size, Predators;;;
  Conference Proceedings;676; S. M. Uspenski;;;" Waterbirds in arctic and subarctic parts of the Soviet; distribution, stocks, problems connected to economical exploitation. (in Russian)";; Moscow;1;48-50;1965;" Waterbirds in arctic and subarctic parts of the Soviet; distribution, stocks, problems connected to economical exploitation. (in Russian)";5860; Barents Sea, White Sea, Many orders, Distribution, Population size, Harvesting, Management;;;
  Book;705; K. A. Yudin;1965;; Phylogeny and taxonomy of Charadriiformes. (in Russian); Fauna SSSR. Ptitsy. (Fauna of the USSR. Birds); Moscow-Leningrad;1;261;1965; Phylogeny and taxonomy of Charadriiformes. (in Russian);6370; Charadriiformes, Taxonomy;;;ProCite field[24]: 1
  Journal Article;86; V. V. Biancki;1966; Priroda (Nature); Autumn on the White Sea. (in Russian);;;9;127-128;1966; Autumn on the White Sea. (in Russian);650; White Sea, Many orders, Distribution, Movements, Management, Popularized paper;;;
  Conference Proceedings;87; V. V. Biancki;;; Distinctive features of the White Sea avifauna. (in Russian);; Petrozavodsk;;162-164;April 1966; Distinctive features of the White Sea avifauna. (in Russian);2120; White Sea, Many orders, Distribution, Population size;;;
  Journal Article;88; V. V. Biancki;1966; Priroda (Nature); May - shift of the half year. (in Russian);;;5;125-125;1966; May - shift of the half year. (in Russian);600; White Sea, Many orders, Distribution, Phenology, Popularized paper;;;
  Conference Proceedings;89; V. V. Biancki;;; Longterm changes in the number of Eider nests in the Kandalaksha reserve, and determining causes. (in Russian);; Tartu;;5-7;May 1966; Longterm changes in the number of Eider nests in the Kandalaksha reserve, and determining causes. (in Russian);1320; White Sea, Common Eider, Distribution, Population trend, Harvesting, Management, Breeding, Foraging;;;
  Conference Proceedings;90; V. V. Biancki;;; Catching Common Eiders with nets. (in Russian);; Vilnus;;8-9;23-25 August 1966; Catching Common Eiders with nets. (in Russian);1390; White Sea, Common Eider, Sampling design;;;
  Conference Proceedings;130; V. V. Biancki and B. V. Kester;;; The necessity to enlarge the Kandalaksha Reserve. (in Russian);; Vilnus;;9-11;1966; The necessity to enlarge the Kandalaksha Reserve. (in Russian);3090; Management, Barents Sea, Murman, Alcids, Larids, Eider;;;
  Conference Proceedings;145; N. S. Boyko;;; Measures of fight with animal raptors and birds of prey - predators of Eider economy. (in Russian);; Tartu;;9-11;May 1966; Measures of fight with animal raptors and birds of prey - predators of Eider economy. (in Russian);1340; White Sea, Common Eider, Predators, Managements;;;
  Book;168; G. K. Chubrik;1966;; JanoveFauna and ecology of Trematoda larva from mollusks of the Barents and White seas.(in Russian); Trudy Murmanskogo morskogo biologicheskogo instituta. (Transactions of Murmansk marine biological institute);;10 (14);78-58;1966; JanoveFauna and ecology of Trematoda larva from mollusks of the Barents and White seas.(in Russian);6220; Barents Sea, White Sea, Common Eider, Parasites;;;
